date,day,month,year,weekday,week_of_year,weekend,holidays,quarter,m1,m2,median-month,mean-week,item-month-sum,OT
2013-01-01 00:00:00,1,1,2013,1,1,0,1,1,0.49999999999999994,0.8660254037844387,146.0,150.38235294117646,22987,133
2013-01-02 00:00:00,2,1,2013,2,1,0,0,1,0.49999999999999994,0.8660254037844387,146.0,150.38235294117646,22987,99
2013-01-03 00:00:00,3,1,2013,3,1,0,0,1,0.49999999999999994,0.8660254037844387,146.0,150.38235294117646,22987,127
2013-01-04 00:00:00,4,1,2013,4,1,0,0,1,0.49999999999999994,0.8660254037844387,146.0,150.38235294117646,22987,145
2013-01-05 00:00:00,5,1,2013,5,1,1,0,1,0.49999999999999994,0.8660254037844387,146.0,150.38235294117646,22987,149
2013-01-06 00:00:00,6,1,2013,6,1,1,0,1,0.49999999999999994,0.8660254037844387,146.0,150.38235294117646,22987,149
2013-01-07 00:00:00,7,1,2013,0,2,0,0,1,0.49999999999999994,0.8660254037844387,146.0,149.82857142857142,22987,92
2013-01-08 00:00:00,8,1,2013,1,2,0,0,1,0.49999999999999994,0.8660254037844387,146.0,149.82857142857142,22987,119
2013-01-09 00:00:00,9,1,2013,2,2,0,0,1,0.49999999999999994,0.8660254037844387,146.0,149.82857142857142,22987,114
2013-01-10 00:00:00,10,1,2013,3,2,0,0,1,0.49999999999999994,0.8660254037844387,146.0,149.82857142857142,22987,103
2013-01-11 00:00:00,11,1,2013,4,2,0,0,1,0.49999999999999994,0.8660254037844387,146.0,149.82857142857142,22987,139
2013-01-12 00:00:00,12,1,2013,5,2,1,0,1,0.49999999999999994,0.8660254037844387,146.0,149.82857142857142,22987,126
2013-01-13 00:00:00,13,1,2013,6,2,1,0,1,0.49999999999999994,0.8660254037844387,146.0,149.82857142857142,22987,170
2013-01-14 00:00:00,14,1,2013,0,3,0,0,1,0.49999999999999994,0.8660254037844387,146.0,146.34285714285716,22987,92
2013-01-15 00:00:00,15,1,2013,1,3,0,0,1,0.49999999999999994,0.8660254037844387,146.0,146.34285714285716,22987,121
